subject,file,window_idx,alpha_power,beta_power,theta_power,alpha_beta_ratio,theta_beta_ratio,alpha_rel_power,beta_rel_power,theta_rel_power
Subject23,Subject23_2.edf,10,9.571975535180797e-11,1.0423116910426241e-10,6.456591311167617e-11,0.9183409931443781,0.6194491884389295,0.28667225380817424,0.3121631898698273,0.19336923462537195
Subject24,Subject24_2.edf,1,8.463008543283499e-11,7.034579110994766e-11,1.1082586494757786e-10,1.2030582654271604,1.5754441480992298,0.15237640226204083,0.12665754156797862,0.19954188267590686
Subject24,Subject24_2.edf,2,7.461309448936424e-11,6.04073428959249e-11,9.912540806522438e-11,1.2351659734134353,1.6409496480586205,0.14651756140317565,0.11862175979335632,0.19465233498500228
Subject24,Subject24_2.edf,3,8.470865268211575e-11,6.728470113598213e-11,1.0021647179650492e-10,1.2589585931416991,1.4894392054141372,0.16030331256214525,0.12733009126385356,0.18965042995734363
Subject24,Subject24_2.edf,4,8.124214249441171e-11,6.566172893268495e-11,9.778109485880463e-11,1.2372830233833696,1.489164182061788,0.16829592853942563,0.1360205590465614,0.20255694455615975
Subject24,Subject24_2.edf,5,7.662843519137487e-11,6.200316509673153e-11,1.0072707674349694e-10,1.2358794115078862,1.6245473370004901,0.1484156459526632,0.1200890997703267,0.1950904272346704
Subject24,Subject24_2.edf,6,7.11819708661945e-11,6.031760598561946e-11,8.492968492661257e-11,1.180119298553813,1.4080413759601296,0.15358400458082377,0.1301427785894482,0.1832464170363611
Subject24,Subject24_2.edf,7,5.7622267896343116e-11,4.596113565150042e-11,9.736113909622545e-11,1.2537172347799028,2.1183362359551934,0.1258515496786709,0.10038272282407035,0.21264435922207467
Subject24,Subject24_2.edf,8,8.598888268760821e-11,6.151891534465018e-11,9.645547207381131e-11,1.3977633091524588,1.567899426272952,0.182618603196065,0.13065059155601727,0.20484698754290126
Subject24,Subject24_2.edf,9,9.031041441020184e-11,7.392102727840956e-11,9.623145228232711e-11,1.2217148183028457,1.3018143257112695,0.17715140767615908,0.14500225831937627,0.18876601714065014
Subject24,Subject24_2.edf,10,8.109898904796208e-11,6.665604912493227e-11,9.915079271704567e-11,1.2166786077578593,1.4874987944636362,0.15436016305521688,0.12687012171577303,0.18871915310566717
Subject25,Subject25_2.edf,1,2.495505126879522e-10,3.6716097692763963e-10,1.435996013974207e-10,0.6796760232423441,0.3911080164320443,0.253229965394267,0.37257451599697783,0.14571687992470694
Subject25,Subject25_2.edf,2,2.3234881701624183e-10,3.492788037616057e-10,1.4241042417110305e-10,0.6652244983489681,0.4077270725775357,0.2475039518245039,0.3720607891603333,0.1516992563852304
Subject25,Subject25_2.edf,3,2.3137952564426356e-10,3.2807022735356325e-10,1.3519072799904185e-10,0.7052743783266394,0.4120786244139917,0.25113593509486004,0.35608260105905826,0.1467340284221729
Subject25,Subject25_2.edf,4,2.3275191497947356e-10,3.716969644694695e-10,1.406624129790989e-10,0.6261872902612616,0.37843304203430655,0.23989920206380386,0.38311094107916444,0.14498183886921417
Subject25,Subject25_2.edf,5,2.383192448733341e-10,3.68946919373995e-10,1.3477187833243864e-10,0.6459445312016661,0.36528798928884065,0.2546140726751685,0.39417327707923133,0.14398676381566547
Subject25,Subject25_2.edf,6,2.4257058002114596e-10,3.447835721992588e-10,1.5420687282926804e-10,0.7035444829168326,0.4472570193690903,0.2365146629256017,0.3361758476806371,0.15035700761751905
Subject25,Subject25_2.edf,7,2.588792160262629e-10,3.838105128975503e-10,1.4549515544238282e-10,0.6744974598842345,0.3790806936057521,0.23795238813941239,0.3527847060836266,0.13373387107568258
Subject25,Subject25_2.edf,8,2.686587967194815e-10,3.6389384545212724e-10,1.58252798293709e-10,0.7382889270514619,0.4348872625121885,0.26964351583257706,0.36522763101630773,0.15883284464649372
Subject25,Subject25_2.edf,9,2.625624197012326e-10,3.8565361513912137e-10,1.569665629786274e-10,0.6808244740724533,0.4070143694154222,0.2545374941646004,0.3738665454284368,0.15216905623307747
Subject25,Subject25_2.edf,10,2.367667568406951e-10,3.392966324455512e-10,1.5521645837834586e-10,0.697816406647332,0.457465366689881,0.2411827663626737,0.34562495817695005,0.15811144822959325
Subject26,Subject26_2.edf,1,4.462548647768359e-11,1.2844749421810198e-10,7.185912570173516e-11,0.3474220088864495,0.5594435776202796,0.11134533678264065,0.3204901645106556,0.17929616422595318
Subject26,Subject26_2.edf,2,6.475092660817475e-11,1.1190633256776608e-10,1.6924311294776273e-10,0.5786171803008926,1.512364037533584,0.07404568009955913,0.12797006832920843,0.1935373292218103
Subject26,Subject26_2.edf,3,5.922775822008498e-11,1.55190233945761e-10,7.683523216333624e-11,0.38164616879683994,0.4951035268765054,0.13290738015808679,0.34824764670659325,0.17241863811087754
Subject26,Subject26_2.edf,4,5.869107506507338e-11,1.4926104093503198e-10,7.789990515652133e-11,0.39321094571904747,0.5219038046936064,0.1385262870947757,0.352295094027606,0.1838641499478994
Subject26,Subject26_2.edf,5,6.724912869523818e-11,1.4645568328483975e-10,7.85110594297657e-11,0.4591773237262922,0.5360738324990131,0.14566988203981562,0.31724101891113193,0.17006460883358238
Subject26,Subject26_2.edf,6,6.446114952038709e-11,1.4568090940405207e-10,5.742778558551549e-11,0.4424817897148171,0.39420254733746296,0.17575850283777192,0.39721070318181817,0.15658147102397763
Subject26,Subject26_2.edf,7,6.01405550860535e-11,1.4828521495055946e-10,5.562613315040356e-11,0.4055735098479324,0.3751293287665271,0.16829990756878258,0.41496770248107606,0.15566655569151397
Subject26,Subject26_2.edf,8,6.1690957101035e-11,1.4975378414756816e-10,6.529629948305224e-11,0.4119492368903641,0.43602437063432686,0.14686380178650082,0.3565094643580735,0.15544681482190997
Subject26,Subject26_2.edf,9,6.773920338880332e-11,1.5348777582014673e-10,6.817937037762353e-11,0.44133288808731247,0.4442006538521639,0.16235645336916987,0.3678775313410352,0.16341143995920773
Subject26,Subject26_2.edf,10,6.683299744008173e-11,1.5257990899408018e-10,7.896399966057216e-11,0.43801964413725486,0.5175255391169215,0.14311855740056195,0.3267400430920292,0.16909631695228858
Subject27,Subject27_2.edf,1,2.432017675239813e-10,2.331880702279702e-10,2.907443855942711e-10,1.0429425797221166,1.246823584542865,0.22808378816938757,0.2186925652514433,0.2726710481196789
Subject27,Subject27_2.edf,2,2.378429612639115e-10,2.1837417090218778e-10,2.8227819611174796e-10,1.0891533567421945,1.2926354565906217,0.2391138487946034,0.2195410291070721,0.28378651840019514
Subject27,Subject27_2.edf,3,2.0494754631619113e-10,1.9828437341330001e-10,2.6609851016715606e-10,1.0336041251672543,1.3420044433481684,0.22500763758444908,0.21769227899321622,0.29214400569148535
Subject27,Subject27_2.edf,4,1.8263765807102559e-10,1.723760051322953e-10,2.3398265501223673e-10,1.0595306343876263,1.3573969000654094,0.2257219156459717,0.21303953686665367,0.28917920693416616
Subject27,Subject27_2.edf,5,2.0818761869951042e-10,1.946510023998997e-10,2.6777882182590204e-10,1.0695430084238686,1.3756868370796533,0.2296278526481429,0.21469716583584034,0.295356064998673
Subject27,Subject27_2.edf,6,2.3214314292748449e-10,2.204496574457203e-10,3.079776101684086e-10,1.0530437906651926,1.3970428157468997,0.2275992902716341,0.21613468716990672,0.3019494119444218
Subject27,Subject27_2.edf,7,2.100112327862522e-10,1.993160383343827e-10,2.6360953968362394e-10,1.0536594773869963,1.322570636495289,0.23178960994123457,0.21998531301218588,0.29094611545014204
Subject27,Subject27_2.edf,8,1.9321133717429475e-10,1.7806643460819272e-10,2.576469192844534e-10,1.0850519784900845,1.4469145734925568,0.22988113608184563,0.21186186527371634,0.3065460204318568
Subject27,Subject27_2.edf,9,2.312543653899558e-10,2.1652301660098746e-10,2.8378201272925677e-10,1.068035948418895,1.310632085143241,0.23696830293735155,0.22187296531372,0.2907938271660348
Subject27,Subject27_2.edf,10,2.1330147180522606e-10,2.0450710433410123e-10,2.6088511951811e-10,1.043002747996263,1.2756775387709982,0.22692945586370758,0.21757320994567567,0.2775532569660052
Subject28,Subject28_2.edf,1,3.6673799681341895e-11,4.804636825769207e-11,4.5195149886966074e-11,0.7633001413269261,0.9406569429882033,0.14833964775748112,0.19433986675229284,0.18280714495994657
Subject28,Subject28_2.edf,2,3.676205748321609e-11,4.9576023277424684e-11,4.63910977839012e-11,0.7415289701131866,0.9357567371690784,0.14424562207276248,0.19452459429972763,0.1820276996610518
Subject28,Subject28_2.edf,3,4.636216219859553e-11,4.703007235244155e-11,4.72633459896242e-11,0.9857982324832348,1.0049600952223614,0.17995731734319764,0.18254984784247738,0.18345531247060362
Subject28,Subject28_2.edf,4,4.006339508458648e-11,4.207719629013788e-11,4.175525510325962e-11,0.9521403186736708,0.9923487966104405,0.18527341114692325,0.1945862469147496,0.1930974279627938
Subject28,Subject28_2.edf,5,4.478644618227317e-11,5.600613928903587e-11,3.744417017074675e-11,0.7996702995566213,0.6685726001841563,0.2021679645267777,0.2528141468288495,0.169024611508703
Subject28,Subject28_2.edf,6,3.5795175147620974e-11,4.805893475400357e-11,3.790304791508682e-11,0.7448183221464151,0.7886784863022644,0.180561657079173,0.24242375853326348,0.1911944029237199
Subject28,Subject28_2.edf,7,3.768313630061103e-11,4.6878676717749066e-11,3.003259456538327e-11,0.8038438569308752,0.640645100675643,0.19043056487914645,0.236899944233227,0.15176878862334992
Subject28,Subject28_2.edf,8,4.6187667551650403e-11,4.680061987837541e-11,4.1953600013987603e-11,0.9869029015359638,0.8964325712568731,0.1994051426467365,0.2020514301218416,0.1811254830302509
Subject28,Subject28_2.edf,9,4.169297711437041e-11,4.6151351439469707e-11,4.4922340335785574e-11,0.9033966680055573,0.9733699866775071,0.1759147138866151,0.19472588301104177,0.18954033015222352
Subject28,Subject28_2.edf,10,4.123809251318093e-11,4.4784779995886475e-11,4.397964221285715e-11,0.9208059639227587,0.9820220668025326,0.17914446059795475,0.19455180311254172,0.19105416379273762
Subject29,Subject29_2.edf,1,1.4380338728894262e-10,1.8640591306281386e-10,1.110614167280697e-10,0.7714529272496022,0.5958041507548365,0.2031460701911659,0.26332918447198833,0.1568926211232967
Subject29,Subject29_2.edf,2,1.5067132196121757e-10,1.8692906689114293e-10,1.1089591989913158e-10,0.8060347407017238,0.5932513425732295,0.21283921779995246,0.2640571268859421,0.15665224504111475
Subject29,Subject29_2.edf,3,1.6450177487215794e-10,1.7449001213257817e-10,1.1229691703441516e-10,0.942757541601687,0.6435721773524294,0.23565426550403565,0.24996274768979684,0.1608690697877185
Subject29,Subject29_2.edf,4,1.500034898532404e-10,1.8029133586870902e-10,1.169467960568352e-10,0.8320060924196341,0.6486545539936411,0.2109603673188137,0.253556277100448,0.16447043383487917
Subject29,Subject29_2.edf,5,1.3704279671521842e-10,1.6294023887725012e-10,1.2566363055870875e-10,0.8410617147705217,0.7712252751352388,0.19598725507755688,0.2330236314834884,0.17971371430386582
Subject29,Subject29_2.edf,6,1.3232186729059386e-10,1.6866472229324934e-10,1.1918495708598137e-10,0.7845260436888047,0.7066383264116141,0.19016429662104642,0.242393860791291,0.17128479212200765
Subject29,Subject29_2.edf,7,1.2792768857427658e-10,1.5578452548708298e-10,1.0873657843121744e-10,0.8211835429372208,0.6979934501917743,0.19856872970637543,0.24180797510399685,0.16878038282672542
Subject29,Subject29_2.edf,8,1.7166657927468335e-10,1.7087830599461043e-10,1.1922811421052821e-10,1.0046130682036243,0.6977369860764462,0.23167893736089987,0.2306150942025582,0.1609086807726287
Subject29,Subject29_2.edf,9,1.2855980007459567e-10,1.4704267062665468e-10,1.058731988038122e-10,0.8743026736845149,0.7200168383273391,0.1980850680563669,0.2265634934199507,0.1631295302126298
Subject29,Subject29_2.edf,10,1.5741109663125695e-10,1.8074677997175705e-10,1.1537818549245872e-10,0.8708929512097174,0.6383415821321263,0.21835815698134864,0.25072904388310563,0.160050774558817
Subject30,Subject30_2.edf,1,9.026562892472371e-11,1.7103005146145603e-10,1.2813329532043519e-10,0.5277764238120826,0.7491858549157473,0.1551345157957655,0.29393983663620776,0.2202155678040924
Subject30,Subject30_2.edf,2,9.340430813725191e-11,1.6369029569092675e-10,1.2428986838506314e-10,0.5706160389227597,0.7592989423132458,0.19557447413935944,0.3427426864982198,0.2602441593436987
Subject30,Subject30_2.edf,3,8.936468568108267e-11,1.6098935080226152e-10,1.241717697975657e-10,0.5550968758849564,0.7713042457701579,0.18422920045740174,0.33188657414743433,0.25598552375402844
Subject30,Subject30_2.edf,4,9.386910312579012e-11,1.7568952620187595e-10,1.305330192286428e-10,0.534289693615144,0.7429755321820034,0.1871803533255033,0.35033495042547425,0.2602902962343225
Subject30,Subject30_2.edf,5,9.975729702103649e-11,1.749343711993613e-10,1.310642024506039e-10,0.5702555554811445,0.7492192732166887,0.19138719114726024,0.3356165307075004,0.2514503732161799
Subject30,Subject30_2.edf,6,9.359853805265732e-11,1.5730217554626634e-10,1.1580223850887478e-10,0.5950237987975427,0.7361769670808817,0.20256813565701287,0.34043703136979375,0.2506219012358337
Subject30,Subject30_2.edf,7,1.0680976357118339e-10,1.709099283550545e-10,1.2697598734188864e-10,0.6249476820872155,0.7429409664142161,0.209536812999839,0.3352869672226367,0.2490984234544773
Subject30,Subject30_2.edf,8,9.175701621492577e-11,1.6797039020022436e-10,1.248411728141657e-10,0.5462689948243223,0.7432332130999536,0.19245146410428007,0.3523016424649391,0.2618422817096077
Subject30,Subject30_2.edf,9,1.0390741263795744e-10,1.4289502021962058e-10,1.1239443615241819e-10,0.7271590883871134,0.7865525053264633,0.23178664290373746,0.3187564407918705,0.2507186770937922
Subject30,Subject30_2.edf,10,8.534498822603961e-11,1.5236461583267047e-10,1.2111902753881323e-10,0.5601365366862276,0.7949288414301409,0.1869239808003948,0.33371145882794684,0.26527686333806194
Subject31,Subject31_2.edf,1,5.5012535898108024e-11,4.537562751682161e-11,9.876194798112319e-11,1.2123807186515234,2.1765417556927504,0.11807583038936,0.09739170919898037,0.21197712172986652
Subject31,Subject31_2.edf,2,6.876020538084963e-11,4.6586601589841247e-11,9.55616113205609e-11,1.4759652568399322,2.0512681341709893,0.1531656489134968,0.10377320753567544,0.21286667379864382
Subject31,Subject31_2.edf,3,4.8313943886788625e-11,4.431409513353011e-11,9.457436781139649e-11,1.0902613207198728,2.1341825332643904,0.11391904273927865,0.1044878329390432,0.22299610799715364
Subject31,Subject31_2.edf,4,4.4384310656341184e-11,4.209183152609928e-11,9.618310514957894e-11,1.0544637533489232,2.285077689953692,0.10127571019165055,0.09604475248201186,0.2194697211337698
Subject31,Subject31_2.edf,5,4.910059217216602e-11,4.846507080122251e-11,9.179344349625729e-11,1.013112977252217,1.894012367643995,0.11495204864914636,0.11346419523804874,0.2149025890656372
Subject31,Subject31_2.edf,6,4.116527539333719e-11,3.8083003462114195e-11,9.23643786943181e-11,1.0809356314107237,2.4253438620250685,0.09747577164287262,0.09017722129823537,0.21871077017015145
Subject31,Subject31_2.edf,7,6.133958098026939e-11,4.825106256802632e-11,8.917388904495215e-11,1.2712586566107293,1.8481228039119584,0.13990068004608266,0.11004894977004,0.2033839736165726
Subject31,Subject31_2.edf,8,6.782440082793738e-11,6.328641093956592e-11,9.482771531728007e-11,1.07170559715742,1.4983898424550237,0.13826249867642168,0.12901164185681926,0.19330973371670335
Subject31,Subject31_2.edf,9,7.037137060436529e-11,6.079132215341979e-11,1.0498367914403045e-10,1.1575890786972556,1.7269517329970532,0.14230600554206033,0.12293309271905944,0.2122995175138671
Subject31,Subject31_2.edf,10,6.823395324674891e-11,4.53486128614064e-11,9.140902084567367e-11,1.5046535922782085,2.015696072667895,0.15209863118989983,0.10108548038595783,0.2037576058177227
Subject32,Subject32_2.edf,1,1.6280190632499316e-10,2.522774136556624e-10,1.2996169650558404e-10,0.6453289018857795,0.5151539118082561,0.22597471946197004,0.3501698417684795,0.18039136378431028
Subject32,Subject32_2.edf,2,2.263113946546846e-10,3.033965047660437e-10,1.6156160449554812e-10,0.7459261761410163,0.5325097750223989,0.25045010786088706,0.3357572315756081,0.17879400784847058
Subject32,Subject32_2.edf,3,1.8656815707801262e-10,2.596420209435429e-10,1.166254120253504e-10,0.7185591777479671,0.44917772401220707,0.2616013107448517,0.3640636969730665,0.16352930280183187
Subject32,Subject32_2.edf,4,1.7833472108670592e-10,2.57796052269349e-10,1.2152261594736608e-10,0.6917666873361554,0.4713905231581961,0.2526730986497688,0.36525768481676746,0.1721790111333275
Subject32,Subject32_2.edf,5,1.7694774064082905e-10,2.552956351204582e-10,1.1555331772195852e-10,0.6931091499364584,0.45262551264316003,0.25354913305921806,0.36581414786179417,0.16557681620806533
Subject32,Subject32_2.edf,6,1.61617087795041e-10,2.399154700658679e-10,1.1583890795411562e-10,0.6736417945481783,0.482832173858203,0.23763720151230813,0.35276493150442806,0.17032625873922308
Subject32,Subject32_2.edf,7,1.8181406971068815e-10,2.5825462445975065e-10,1.2586655758609153e-10,0.704010896575539,0.4873738770385814,0.2511394058230867,0.3567265890978151,0.1738592207713511
Subject32,Subject32_2.edf,8,1.7506330001568555e-10,2.6597547311754124e-10,1.2378210620971564e-10,0.6581933964201303,0.4653891757719074,0.23997889635499114,0.3646024066182071,0.16968201350050127
Subject32,Subject32_2.edf,9,1.7107325612495228e-10,2.4822934426092137e-10,1.1710535606739457e-10,0.6891741854062668,0.4717627418952595,0.24466061524755717,0.35500548399579157,0.16747836051770829
Subject32,Subject32_2.edf,10,1.7063603346271969e-10,2.562214321104595e-10,1.1632715583484233e-10,0.6659709613564133,0.45401024760759506,0.24035083668942608,0.36090287810731664,0.16385360505179652
Subject33,Subject33_2.edf,1,3.8345620624497194e-11,4.0780816905325244e-11,1.8489626442455248e-11,0.9402857405607769,0.45339029096400557,0.2498768632931674,0.2657456691240935,0.1204865062465971
Subject33,Subject33_2.edf,2,3.8166524246179845e-11,4.235764907324214e-11,2.3449462843254897e-11,0.9010538847466423,0.5536063345420229,0.22139049340568237,0.24570172456215844,0.13602203112551026
Subject33,Subject33_2.edf,3,3.6095531480816433e-11,4.2532437752741206e-11,2.3100502367314923e-11,0.8486588916124396,0.5431266954790547,0.21223418949039022,0.2500818545448199,0.13582613125820167
Subject33,Subject33_2.edf,4,3.3736512654228366e-11,3.997292434149385e-11,2.6113176020284962e-11,0.8439841019889609,0.6532715944722165,0.21401103915491768,0.2535723583543483,0.1656516188562254
Subject33,Subject33_2.edf,5,3.701246433008712e-11,4.516437479333604e-11,2.1052205573830698e-11,0.8195057387476173,0.46612414475262326,0.24038395409557356,0.2933279692012071,0.13672724877593648
Subject33,Subject33_2.edf,6,3.655125641416298e-11,3.981295417240326e-11,1.899407483620711e-11,0.9180744602845584,0.4770827794882159,0.23567626049814036,0.2567071307321763,0.12247055144415149
Subject33,Subject33_2.edf,7,3.8938659545317453e-11,4.4260500835634394e-11,2.2791633114550387e-11,0.8797609337933137,0.514942955552837,0.23058918472435416,0.26210436934282827,0.13496879861270838
Subject33,Subject33_2.edf,8,4.14076494536733e-11,3.791141584730694e-11,2.0910090486372948e-11,1.0922211299216016,0.5515512944858352,0.26377859482089355,0.2415065846966605,0.1332032694162961
Subject33,Subject33_2.edf,9,4.3287655031982554e-11,3.950494071047308e-11,2.112016564411544e-11,1.095752942631468,0.5346208667645542,0.2789105261418959,0.25453778428565094,0.13608121085912384
Subject33,Subject33_2.edf,10,4.090736787913701e-11,3.979238292025332e-11,2.1698956280989495e-11,1.0280200600481304,0.5453042690224332,0.24156030608824952,0.23497625725021362,0.12813355619745498
Subject34,Subject34_2.edf,1,8.580918759676121e-11,1.1176514499914791e-10,1.0868987389442198e-10,0.7677633988433104,0.9724845245380447,0.18242295938186706,0.237603094464649,0.2310653323492223
Subject34,Subject34_2.edf,2,8.26302965060193e-11,1.0575421204646936e-10,1.0377824040130647e-10,0.7813428411693976,0.9813154331451628,0.181991115946047,0.232920948854756,0.2285689218139872
Subject34,Subject34_2.edf,3,9.045929585238902e-11,1.1405217206632393e-10,9.963823305978923e-11,0.7931396150858476,0.8736197764111615,0.20406535560070888,0.25728806343713057,0.22477194045320675
Subject34,Subject34_2.edf,4,8.522807827624166e-11,1.1046296407708714e-10,1.0091392582391923e-10,0.7715534250625831,0.9135543905330654,0.20174650924271512,0.2614809327381974,0.23887705414366137
Subject34,Subject34_2.edf,5,7.689183105819554e-11,9.628346453621042e-11,9.098058238731464e-11,0.7985985073197895,0.9449242694533341,0.1921486085780418,0.24060727238637086,0.22735565108485087
Subject34,Subject34_2.edf,6,7.250077318994999e-11,8.139521893221592e-11,8.369342594654458e-11,0.8907252064808251,1.0282351598100934,0.19440358088339038,0.21825314863543763,0.22441556116621528
Subject34,Subject34_2.edf,7,7.881088341458105e-11,9.054390434507142e-11,8.795056980241962e-11,0.8704162249755134,0.97135826468485,0.19402853383584392,0.2229146565383732,0.21652999394793354
Subject34,Subject34_2.edf,8,7.136395805873902e-11,8.529636853950399e-11,9.44543657443415e-11,0.8366588083487712,1.1073667890163001,0.17728970340797132,0.21190203418508205,0.2346532751815566
Subject34,Subject34_2.edf,9,8.77031600879796e-11,9.63524626738802e-11,9.86072165384833e-11,0.9102326775478952,1.0234011025980174,0.20223429801496753,0.2221786835425124,0.22737790971118318
Subject34,Subject34_2.edf,10,7.734146542765151e-11,9.33305567404782e-11,1.0329152089125676e-10,0.828683210823577,1.1067277909685758,0.17526454857720183,0.2114976462513549,0.23407032283081528
Subject35,Subject35_2.edf,1,6.7339437680528316e-12,1.321374504773647e-11,1.6250502259119246e-11,0.5096165957285792,1.2298180569105936,0.09155309481906197,0.17965092892662188,0.2209379563347213
Subject35,Subject35_2.edf,2,9.205747388247551e-12,1.1138076108451974e-11,2.057694036887468e-11,0.8265114458377509,1.847441171034929,0.12885662792157856,0.15590422682044006,0.28802388736644896
Subject35,Subject35_2.edf,3,7.15802115944114e-12,9.856104031035773e-12,1.6948024400810518e-11,0.7262525980753987,1.7195460140683456,0.10657471087326063,0.14674606487562084,0.25233661093708865
Subject35,Subject35_2.edf,4,8.962638614385773e-12,1.1140175146013641e-11,1.472127401453981e-11,0.8045330075077797,1.3214580400746765,0.1365951519907352,0.1697819116382423,0.2243596721936036
Subject35,Subject35_2.edf,5,7.2339810109668935e-12,9.856029675317576e-12,1.471497887335923e-11,0.7339650193102533,1.492992549546589,0.11490632895676345,0.15655559315993992,0.23373633417763726
Subject35,Subject35_2.edf,6,1.0440627395439156e-11,1.3138755324076717e-11,1.9661656079648335e-11,0.7946435669067333,1.4964626096368832,0.13024683705611087,0.16390598562713568,0.2452791789866889
Subject35,Subject35_2.edf,7,9.415665374075218e-12,1.0301076854409208e-11,2.191728776603215e-11,0.9140467066843595,2.1276695704537736,0.12416163128751821,0.13583729406772424,0.28901687712067775
Subject35,Subject35_2.edf,8,8.17544311806031e-12,1.1026591108360881e-11,1.9374236288531302e-11,0.7414297889273598,1.7570467697710168,0.11163774768740387,0.15057089606409296,0.26456010655094203
Subject35,Subject35_2.edf,9,1.1504669492010626e-11,1.4105867539912679e-11,2.3168494925220743e-11,0.81559460695757,1.6424721740556034,0.1339550774691539,0.16424223054741546,0.26976329347895506
Subject35,Subject35_2.edf,10,1.0488625319250563e-11,1.3240176226903624e-11,2.4740688883286257e-11,0.7921817005681544,1.868607219367213,0.09397590192384209,0.11862922591678446,0.2216714279760475
